15.000,30.982
17.755,61.316
20.510,86.656
23.265,87.162
26.020,75.173
28.776,78.809
31.531,105.456
34.286,126.366
37.041,91.388
39.796,94.761
42.551,150.581
45.306,109.891
48.061,134.378
50.816,126.047
53.571,162.853
56.327,150.954
59.082,136.200
61.837,155.549
64.592,163.295
67.347,183.770
70.102,173.953
72.857,232.933
75.612,234.720
78.367,192.380
81.122,182.933
83.878,268.094
86.633,194.967
89.388,204.353
92.143,186.863
94.898,235.652
97.653,289.204
100.408,298.486
103.163,244.348
105.918,252.841
108.673,276.735
111.429,274.295
114.184,308.356
116.939,304.106
119.694,303.144
122.449,332.534
125.204,327.233
127.959,337.077
130.714,320.761
133.469,343.422
136.224,361.868
138.980,360.042
141.735,390.181
144.490,309.021
147.245,358.919
150.000,365.822
